id,question,subset,expected_document,document_indexe,page_gold,plafond,atteint,couverture_relative,rang_premier_utile,passages_utiles,passages_pour_80pct,recouvrement_ngrammes,jetons_gold,erreur,passages_total,passages_du_document,pages_recuperees,page_gold_atteinte,couverture_suffisante,duree_secondes
paper_tab:03ce42ff53aa3f1775bc57e50012f6eb1998c480,What 6 language pairs is experimented on?,paper_tab,1909.01013.pdf,True,,0.9315068493150684,0.0,0.0,,0,,0.0,73,,28,0,,,False,20.98
paper_tab:04012650a45d56c0013cf45fd9792f43916eaf83,How much is performance hurt when using too small amount of layers in encoder?,paper_tab,1908.06151.pdf,True,,0.93,0.61,0.6559139784946236,1.0,3,,0.02717391304347826,100,,30,3,1|2|8,,False,1.122
paper_tab:0682bf049f96fa603d50f0fdad0b79a5c55f6c97,Do they analyze specific derogatory words?,paper_tab,2003.03014.pdf,True,,0.8620689655172413,0.5172413793103449,0.6000000000000001,1.0,3,,0.2541436464088398,203,,30,3,4|13,,False,1.0
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,True,,0.8709677419354839,0.0,0.0,,0,,0.0,93,,30,0,,,False,1.061
paper_tab:0af16b164db20d8569df4ce688d5a62c861ace0b,what were the baselines?,paper_tab,1908.06264.pdf,True,,0.8571428571428571,0.0,0.0,,0,,0.0,70,,30,0,,,False,1.008
paper_tab:0c7823b27326b3f5dff51f32f45fc69c91a4e06d,In which setting they achieve the state of the art?,paper_tab,1703.06492.pdf,True,,0.8709677419354839,0.0,0.0,,0,,0.0,31,,30,0,,,False,1.061
paper_tab:11dde2be9a69a025f2fc29ce647201fb5a4df580,By how much does the new parser outperform the current state-of-the-art?,paper_tab,1710.09340.pdf,True,,0.8430232558139535,0.5813953488372093,0.6896551724137931,1.0,3,,0.23885350318471338,172,,29,3,1|4,,False,1.01
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,True,,0.5789473684210527,0.0,0.0,,0,,0.0,19,,30,0,,,False,1.072
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,True,,0.9239130434782609,0.0,0.0,,0,,0.0,92,,28,0,,,False,0.955
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,False,,1.0,0.0,0.0,,0,,0.0,93,,30,0,,,False,1.084
